index,hmdb_id,metabolite,smiles,n_diseases
203,HMDB0003339,D-Glutamic acid,N[C@H](CCC(O)=O)C(O)=O,1
204,HMDB0003337,Oxidized glutathione,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,1
205,HMDB0000289,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,1
206,HMDB0000286,Uridine diphosphate glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,1
207,HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,1
208,HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1
209,HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,1
210,HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1
211,HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,1
212,HMDB0000239,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,1
213,HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,1
214,HMDB0000228,Phenol,OC1=CC=CC=C1,1
215,HMDB0000226,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,1
216,HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,1
217,HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,1
218,HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,1
219,HMDB0000210,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,1
220,HMDB0000209,Phenylacetic acid,OC(=O)CC1=CC=CC=C1,1
221,HMDB0000201,L-Acetylcarnitine,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
222,HMDB0000195,Inosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1
223,HMDB0000191,L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,1
224,HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,1
225,HMDB0000296,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1
226,HMDB0000299,Xanthosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O,1
227,HMDB0000477,"7Z,10Z-Hexadecadienoic acid",CCCCC\C=C/C\C=C/CCCCCC(O)=O,1
228,HMDB0000555,3-Methyladipic acid,C[C@@H](CCC(O)=O)CC(O)=O,1
229,HMDB0000535,Caproic acid,CCCCCC(O)=O,1
230,HMDB0000520,"5a-Cholestane-3a,7a,12a,25-tetrol",[H][C@@]12CCC([C@H](C)CCCC(C)(C)O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@@]2([H])C[C@H](O)CC[C@]12C,1
231,HMDB0000517,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,1
232,HMDB0000510,Aminoadipic acid,N[C@@H](CCCC(O)=O)C(O)=O,1
233,HMDB0000501,7-Ketocholesterol,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,1
234,HMDB0000483,"5b-Cholestane-3a,7a,12a,23S,25-pentol",[H]C1CC([C@@H](C)C[C@H](O)CC(C)(C)O)[C@]2(C)C1[C@]1([H])[C@H](O)C[C@]3([H])C[C@H](O)CC[C@]3(C)[C@@]1([H])C[C@@H]2O,1
235,HMDB0000482,Caprylic acid,CCCCCCCC(O)=O,1
236,HMDB0000474,Butanone,CCC(C)=O,1
237,HMDB0000300,Uracil,O=C1NC=CC(=O)N1,1
238,HMDB0000472,5-Hydroxy-L-tryptophan,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,1
239,HMDB0000466,3-Methylindole,CC1=CNC2=C1C=CC=C2,1
240,HMDB0000462,Allantoin,NC(=O)NC1NC(=O)NC1=O,1
241,HMDB0000379,2-Methylcitric acid,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,1
242,HMDB0000374,17-Hydroxyprogesterone,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
243,HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic acid",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C(O)=O,1
244,HMDB0000317,2-Hydroxy-3-methylpentanoic acid,CC[C@@H](C)[C@@H](O)C(O)=O,1
245,HMDB0000306,Tyramine,NCCC1=CC=C(O)C=C1,1
246,HMDB0000187,L-Serine,N[C@@H](CO)C(O)=O,1
247,HMDB0000182,L-Lysine,NCCCC[C@H](N)C(O)=O,1
248,HMDB0000177,L-Histidine,N[C@@H](CC1=CN=CN1)C(O)=O,1
249,HMDB0000050,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
250,HMDB0000077,Dehydroepiandrosterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,1
251,HMDB0000064,Creatine,CN(CC(O)=O)C(N)=N,1
252,HMDB0000063,Cortisol,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
253,HMDB0000060,Acetoacetic acid,CC(=O)CC(O)=O,1
254,HMDB0000058,Cyclic AMP,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
255,HMDB0000056,beta-Alanine,NCCC(O)=O,1
256,HMDB0000054,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,1
257,HMDB0000053,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
258,HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
259,HMDB0000089,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
260,HMDB0000043,Betaine,C[N+](C)(C)CC(O)=O,1
261,HMDB0000036,Taurocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,1
262,HMDB0000034,Adenine,NC1=C2NC=NC2=NC=N1,1
263,HMDB0000033,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,1
264,HMDB0000030,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,1
265,HMDB0000020,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1,1
266,HMDB0000017,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O,1
267,HMDB0000014,Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,1
268,HMDB0000087,Dimethylamine,CNC,1
269,HMDB0000092,Dimethylglycine,CN(C)CC(O)=O,1
270,HMDB0000175,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,1
271,HMDB0000134,Fumaric acid,OC(=O)\C=C\C(O)=O,1
272,HMDB0000172,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,1
273,HMDB0000168,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,1
274,HMDB0000164,Methylamine,CN,1
275,HMDB0000158,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
276,HMDB0000149,Ethanolamine,NCCO,1
277,HMDB0000148,L-Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,1
278,HMDB0000139,Glyceric acid,OC[C@@H](O)C(O)=O,1
279,HMDB0000138,Glycocholic acid,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1
280,HMDB0000133,Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,1
281,HMDB0000098,D-Xylose,O[C@@H]1COC(O)[C@H](O)[C@H]1O,1
282,HMDB0000131,Glycerol,OCC(O)CO,1
283,HMDB0000130,Homogentisic acid,OC(=O)CC1=C(O)C=CC(O)=C1,1
284,HMDB0000128,Guanidoacetic acid,NC(=N)NCC(O)=O,1
285,HMDB0000125,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,1
286,HMDB0000123,Glycine,NCC(O)=O,1
287,HMDB0000121,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,1
288,HMDB0000108,Ethanol,CCO,1
289,HMDB0000099,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,1
290,HMDB0000561,beta-Carotene,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,1
291,HMDB0000562,Creatinine,CN1CC(=O)NC1=N,1
292,HMDB0000574,L-Cysteine,N[C@@H](CS)C(O)=O,1
293,HMDB0001453,Thiocyanate,[S-]C#N,1
294,HMDB0001857,"1,3-Dimethyluric acid",CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O,1
295,HMDB0001844,Methylsuccinic acid,C[C@@H](CC(O)=O)C(O)=O,1
296,HMDB0001659,Acetone,CC(C)=O,1
297,HMDB0001548,D-Ribose 5-phosphate,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
298,HMDB0001496,7alpha-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
299,HMDB0001491,Pyridoxal 5'-phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,1
300,HMDB0001488,Nicotinic acid,OC(=O)C1=CN=CC=C1,1
301,HMDB0001485,Octane,CCCCCCCC,1
302,HMDB0001414,Putrescine,NCCCCN,1
303,HMDB0001873,Isobutyric acid,CC(C)C(O)=O,1
304,HMDB0001406,Niacinamide,NC(=O)C1=CC=CN=C1,1
305,HMDB0001257,Spermidine,NCCCCNCCCN,1
306,HMDB0001184,Methyl propenyl ketone,C\C=C\C(C)=O,1
307,HMDB0001183,Octanol,CCCCCCCCO,1
308,HMDB0001140,Octanal,CCCCCCCC=O,1
309,HMDB0001051,Glyceraldehyde,OCC(O)C=O,1
310,HMDB0001049,gamma-Glutamylcysteine,N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O,1
311,HMDB0001035,Angiotensin II,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1
312,HMDB0001858,p-Cresol,CC1=CC=C(O)C=C1,1
313,HMDB0001906,2-Aminoisobutyric acid,CC(C)(N)C(O)=O,1
314,HMDB0000990,Acetaldehyde,CC=O,1
315,HMDB0002886,6-Keto-prostaglandin F1a,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC(=O)CCCCC(O)=O,1
316,HMDB0003334,Symmetric dimethylarginine,CN\C(NCCC[C@H](N)C(O)=O)=N/C,1
317,HMDB0003315,Cyclohexanone,O=C1CCCCC1,1
318,HMDB0003243,Acetoin,CC(O)C(C)=O,1
319,HMDB0003233,Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,1
320,HMDB0003227,Methanethiol,CS,1
321,HMDB0003119,Benzyl alcohol,OCC1=CC=CC=C1,1
322,HMDB0003000,Lycopene,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C,1
323,HMDB0002939,Methyl isobutyl ketone,CC(C)CC(C)=O,1
324,HMDB0002802,Cortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
325,HMDB0001993,7a-Hydroxy-cholestene-3-one,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
326,HMDB0000012,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,1
327,HMDB0002322,Cadaverine,NCCCCCN,1
328,HMDB0002303,Dimethylsulfide,CSC,1
329,HMDB0002199,Desaminotyrosine,OC(=O)CCC1=CC=C(O)C=C1,1
330,HMDB0002179,Peroxynitrite,OON=O,1
331,HMDB0002176,Ethylmethylacetic acid,CCC(C)C(O)=O,1
332,HMDB0002103,27-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC[C@@H](C)CO,1
333,HMDB0002012,Ubiquinone-1,COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O,1
334,HMDB0001032,Dehydroepiandrosterone sulfate,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,1
335,HMDB0000982,5-Methylcytidine,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N=C1N,1
336,HMDB0000577,5beta-Coprostanol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
337,HMDB0000684,L-Kynurenine,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,1
338,HMDB0000742,Homocysteine,N[C@@H](CCS)C(O)=O,1
339,HMDB0000738,Indole,N1C=CC2=C1C=CC=C2,1
340,HMDB0000725,4-Hydroxyproline,O[C@H]1CN[C@@H](C1)C(O)=O,1
341,HMDB0000719,L-Homoserine,N[C@@H](CCO)C(O)=O,1
342,HMDB0000718,Isovaleric acid,CC(C)CC(O)=O,1
343,HMDB0000715,Kynurenic acid,OC(=O)C1=CC(=O)C2=CC=CC=C2N1,1
344,HMDB0000695,Ketoleucine,CC(C)CC(=O)C(O)=O,1
345,HMDB0000689,Isocaproic acid,CC(C)CCC(O)=O,1
346,HMDB0000673,Linoleic acid,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,1
347,HMDB0000756,Hexanoylcarnitine,CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
348,HMDB0000666,Heptanoic acid,CCCCCCC(O)=O,1
349,HMDB0000661,Glutaric acid,OC(=O)CCCC(O)=O,1
350,HMDB0000651,Decanoylcarnitine,CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,1
351,HMDB0000641,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,1
352,HMDB0000630,Cytosine,NC1=CC=NC(=O)N1,1
353,HMDB0000626,Deoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,1
354,HMDB0000623,Dodecanedioic acid,OC(=O)CCCCCCCCCCC(O)=O,1
355,HMDB0000619,Cholic acid,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1
356,HMDB0000754,3-Hydroxyisovaleric acid,CC(C)(O)CC(O)=O,1
357,HMDB0000763,5-Hydroxyindoleacetic acid,OC(=O)CC1=CNC2=C1C=C(O)C=C2,1
358,HMDB0000951,Taurochenodesoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,1
359,HMDB0000863,Isopropyl alcohol,CC(C)O,1
360,HMDB0000926,Pyridine,C1=CC=NC=C1,1
361,HMDB0000925,Trimethylamine N-oxide,C[N+](C)(C)[O-],1
362,HMDB0000910,Tridecanoic acid,CCCCCCCCCCCCC(O)=O,1
363,HMDB0000906,Trimethylamine,CN(C)C,1
364,HMDB0000898,1-Methylhistamine,CN1C=NC(CCN)=C1,1
365,HMDB0000892,Valeric acid,CCCCC(O)=O,1
366,HMDB0000888,Undecanedioic acid,OC(=O)CCCCCCCCCC(O)=O,1
367,HMDB0000879,Tetrahydrodeoxycorticosterone,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,1
368,HMDB0000851,Pyridinoline,N[C@@H](CCC1=C[N+](C[C@H](O)CC[C@H](N)C([O-])=O)=CC(O)=C1C[C@H](N)C(O)=O)C(O)=O,1
369,HMDB0000764,Hydrocinnamic acid,OC(=O)CCC1=CC=CC=C1,1
370,HMDB0000847,Pelargonic acid,CCCCCCCCC(O)=O,1
371,HMDB0000827,Stearic acid,CCCCCCCCCCCCCCCCCC(O)=O,1
372,HMDB0000826,Pentadecanoic acid,CCCCCCCCCCCCCCC(O)=O,1
373,HMDB0000824,Propionylcarnitine,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
374,HMDB0000820,Propyl alcohol,CCCO,1
375,HMDB0000819,Normetanephrine,COC1=CC(=CC=C1O)C(O)CN,1
376,HMDB0000792,Sebacic acid,OC(=O)CCCCCCCCC(O)=O,1
377,HMDB0000791,Octanoylcarnitine,CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
378,HMDB0094666,Nonyl cyclopropane,CCCCCCCCCC1CC1,1
